sub_context,n_pos,n_neg,eligible,auc_unit,auc_anchor,auc_g,auc_h,auc_dense_probe,auc_rek_mean,auc_rek_anch_mean,unit_minus_g_diff,unit_minus_g_ci_lo,unit_minus_g_ci_hi,unit_minus_h_diff,unit_minus_h_ci_lo,unit_minus_h_ci_hi,unit_minus_rek_mean_diff,unit_minus_rek_mean_ci_lo,unit_minus_rek_mean_ci_hi,unit_minus_rek_anch_mean_diff,unit_minus_rek_anch_mean_ci_lo,unit_minus_rek_anch_mean_ci_hi,unit_minus_dense_probe_diff,unit_minus_dense_probe_ci_lo,unit_minus_dense_probe_ci_hi,unit_minus_S_rec_anch_diff,unit_minus_S_rec_anch_ci_lo,unit_minus_S_rec_anch_ci_hi,unit_minus_S_prec_anch_diff,unit_minus_S_prec_anch_ci_lo,unit_minus_S_prec_anch_ci_hi,unit_minus_S_mag_anch_diff,unit_minus_S_mag_anch_ci_lo,unit_minus_S_mag_anch_ci_hi,unit_minus_S_rec_free_diff,unit_minus_S_rec_free_ci_lo,unit_minus_S_rec_free_ci_hi,unit_minus_S_prec_free_diff,unit_minus_S_prec_free_ci_lo,unit_minus_S_prec_free_ci_hi,unit_minus_S_mag_free_diff,unit_minus_S_mag_free_ci_lo,unit_minus_S_mag_free_ci_hi,rek_anch_p95,unit_above_rek_anch_95th,selection_established
Japan,150,2100,True,0.9997301587301587,1.0,0.5516888888888889,0.6876761904761904,1.0,0.8375174603174603,1.0,0.4480412698412698,0.40918706349206346,0.48660658730158723,0.31205396825396825,0.2896919047619047,0.3342699206349206,0.16221269841269836,0.14404753968253972,0.1808541269841269,-0.00026984126984130885,-0.0008764285714285695,0.0,-0.00026984126984130885,-0.0008764285714285695,0.0,,,,,,,,,,,,,,,,,,,1.0,False,False
India,150,2100,True,0.9994952380952381,0.9999333333333333,0.49453968253968256,0.6360730158730159,0.9999968253968254,0.7929396825396825,0.9999333333333333,0.5049555555555556,0.4653554761904762,0.5443049999999999,0.3634222222222222,0.3353827777777778,0.39217293650793655,0.2065555555555556,0.18247603174603172,0.23129230158730163,-0.0004380952380952374,-0.0013111904761905157,0.0,-0.0005015873015873362,-0.001406349206349189,-2.2222222222256782e-05,,,,,,,,,,,,,,,,,,,0.9999333333333333,False,False
Italy,150,2100,True,0.9996571428571429,0.9999809523809524,0.5108031746031746,0.6727238095238095,0.9999809523809524,0.7547904761904762,0.9999809523809524,0.4888539682539683,0.45203785714285716,0.5263339682539683,0.3269333333333334,0.30285690476190485,0.35145730158730165,0.24486666666666668,0.21892325396825396,0.2722319047619047,-0.000323809523809504,-0.0010285714285714898,0.0,-0.000323809523809504,-0.0010445238095238756,3.17460317460494e-05,,,,,,,,,,,,,,,,,,,0.9999809523809524,False,False
Ireland,150,2100,True,0.9995301587301587,0.9998857142857143,0.5332793650793651,0.6676063492063492,0.9999904761904762,0.8727746031746032,0.9998920634920635,0.4662507936507936,0.42809777777777785,0.5043430158730159,0.3319238095238095,0.3040729365079365,0.3609280952380952,0.1267555555555555,0.11059571428571426,0.1433683333333334,-0.0003619047619047855,-0.0010539682539681989,0.0,-0.0004603174603174942,-0.0011873809523809896,-5.0793650793634626e-05,,,,,,,,,,,,,,,,,,,0.9998857142857143,False,False
Australia,150,2100,True,0.9989301587301588,0.9995206349206349,0.49266984126984126,0.5777523809523809,0.9999523809523809,0.7383809523809524,0.9995238095238095,0.5062603174603175,0.46882198412698417,0.5433652380952382,0.4211777777777779,0.391884761904762,0.4508068253968254,0.2605492063492064,0.2302279365079364,0.29196523809523817,-0.0005936507936507018,-0.0016222222222221916,-2.2222222222256782e-05,-0.0010222222222221466,-0.0021936507936507477,-0.00026984126984119783,,,,,,,,,,,,,,,,,,,0.9994953968253968,False,False
Poland,150,2100,True,0.9996666666666667,0.9999587301587302,0.6037238095238096,0.7577015873015873,0.9999714285714286,0.9431111111111111,0.9999587301587302,0.39594285714285715,0.36027261904761904,0.43196777777777773,0.24196507936507938,0.2187838888888889,0.26590571428571425,0.05655555555555558,0.04670468253968255,0.06697523809523805,-0.0002920634920634546,-0.0009079365079365243,0.0,-0.0003047619047619188,-0.0009396825396824654,2.8571428571377844e-05,,,,,,,,,,,,,,,,,,,0.9999587301587302,False,False
Germany,150,2100,True,0.9995301587301587,1.0,0.4352412698412698,0.5852380952380952,0.9999746031746032,0.7200253968253968,1.0,0.5642888888888888,0.5273980952380951,0.6022434126984126,0.4142920634920635,0.388355,0.44039420634920634,0.2795047619047619,0.24859682539682537,0.312638253968254,-0.0004698412698412868,-0.001419047619047653,0.0,-0.0004444444444444695,-0.001406349206349189,6.031746031742724e-05,,,,,,,,,,,,,,,,,,,1.0,False,False
United Kingdom,150,2100,True,0.9986253968253969,0.9995142857142857,0.5897269841269841,0.6529333333333334,0.9998253968253968,0.9870793650793651,0.9996095238095238,0.40889841269841276,0.372723492063492,0.44703515873015864,0.3456920634920635,0.31465999999999994,0.3771437301587301,0.011546031746031749,0.0075174603174603645,0.01595571428571423,-0.0009841269841269762,-0.0022857936507936993,-9.523809523803717e-05,-0.0011999999999999789,-0.002584206349206386,-0.00014285714285711126,,,,,,,,,,,,,,,,,,,0.9995015873015873,False,False
Israel,150,2100,True,0.9992888888888889,0.9996571428571429,0.5130539682539682,0.6576603174603175,0.9999587301587302,0.9509015873015872,0.9996761904761905,0.4862349206349207,0.44816809523809525,0.5242128571428571,0.3416285714285714,0.31697761904761906,0.3671111904761904,0.048387301587301645,0.03973317460317456,0.05754952380952381,-0.0003873015873016028,-0.0010761904761904556,-2.8571428571377844e-05,-0.0006698412698412648,-0.0014634920634920556,-0.00013650793650787918,,,,,,,,,,,,,,,,,,,0.9996287301587301,False,False
Russia,150,2100,True,0.9995809523809523,1.0,0.5020412698412698,0.6574380952380953,0.9999968253968254,0.8829746031746032,1.0,0.4975396825396825,0.4554538095238095,0.539484603174603,0.3421428571428571,0.3131261111111111,0.3713366666666667,0.11660634920634916,0.10159968253968256,0.13243563492063495,-0.0004190476190476522,-0.0013047619047619197,0.0,-0.00041587301587309167,-0.001295238095238127,1.2698412698464168e-05,,,,,,,,,,,,,,,,,,,1.0,False,False
Jordan,124,2100,False,0.9574270353302612,0.629531490015361,0.44483486943164363,0.5093029953917051,0.9996390168970815,0.785568356374808,0.8106374807987711,0.5125921658986176,0.45208136520737335,0.5737674251152074,0.4481240399385561,0.3935656201996928,0.5018596870199693,0.17185867895545315,0.1425302419354838,0.20079862711213525,0.14678955453149012,0.11693447580645162,0.17765812211981563,-0.04221198156682027,-0.06454728302611368,-0.022898617511520808,,,,,,,,,,,,,,,,,,,0.7340161290322577,True,True
