sub_context,n_pos,n_neg,eligible,auc_unit,auc_anchor,auc_g,auc_h,auc_dense_probe,auc_rek_mean,auc_rek_anch_mean,unit_minus_g_diff,unit_minus_g_ci_lo,unit_minus_g_ci_hi,unit_minus_h_diff,unit_minus_h_ci_lo,unit_minus_h_ci_hi,unit_minus_rek_mean_diff,unit_minus_rek_mean_ci_lo,unit_minus_rek_mean_ci_hi,unit_minus_rek_anch_mean_diff,unit_minus_rek_anch_mean_ci_lo,unit_minus_rek_anch_mean_ci_hi,unit_minus_dense_probe_diff,unit_minus_dense_probe_ci_lo,unit_minus_dense_probe_ci_hi,rek_anch_p95,unit_above_rek_anch_95th,selection_established
Japan,150,2100,True,0.9998920634920635,1.0,0.5516888888888889,0.6876761904761904,1.0,0.8559555555555556,1.0,0.4482031746031746,0.4099731746031746,0.4870001587301587,0.31221587301587306,0.29066285714285717,0.3344960317460317,0.14393650793650792,0.12725055555555562,0.16097777777777778,-0.00010793650793650134,-0.0003714285714285781,0.0,-0.00010793650793650134,-0.0003714285714285781,0.0,1.0,False,False
India,150,2100,True,0.9992285714285715,0.9999333333333333,0.49453968253968256,0.6360730158730159,0.9999968253968254,0.858152380952381,0.9999333333333333,0.504688888888889,0.4650946031746032,0.5442200793650793,0.36315555555555556,0.3348856349206349,0.3914546031746032,0.14107619047619047,0.1234983333333334,0.15932111111111105,-0.0007047619047618747,-0.0015174603174603618,-0.00018412698412695327,-0.0007682539682539735,-0.0016096031746032024,-0.0002157936507936398,0.9999333333333333,False,False
Italy,150,2100,True,0.9997714285714285,0.9999809523809524,0.5108031746031746,0.6727238095238095,0.9999809523809524,0.8344253968253968,0.9999809523809524,0.48896825396825394,0.4524440476190476,0.5267628571428571,0.32704761904761903,0.3026634920634921,0.3520543650793651,0.16534603174603169,0.1463455555555556,0.18518555555555555,-0.0002095238095238816,-0.0006253968253968623,0.0,-0.0002095238095238816,-0.0006349206349206549,2.5396825396817313e-05,0.9999809523809524,False,False
Ireland,150,2100,True,0.9991460317460318,0.9998857142857143,0.5332793650793651,0.6676063492063492,0.9999904761904762,0.9047873015873016,0.9998952380952381,0.46586666666666665,0.4280252380952381,0.5038926984126983,0.3315396825396826,0.3028538888888889,0.3600043650793651,0.0943587301587302,0.08130468253968251,0.10779682539682534,-0.0007492063492062773,-0.0014285714285714457,-0.00026341269841260567,-0.0008444444444444255,-0.0015809523809523496,-0.000304761904761916,0.9998857142857143,False,False
Australia,150,2100,True,0.9979428571428571,0.9995206349206349,0.49266984126984126,0.5777523809523809,0.9999523809523809,0.7970730158730158,0.9995238095238095,0.5052730158730159,0.4680761111111112,0.5423530158730159,0.4201904761904762,0.39094388888888887,0.4484953174603175,0.2008698412698413,0.17624730158730165,0.22697222222222224,-0.0015809523809523496,-0.0027682539682539753,-0.00068888888888885,-0.0020095238095237944,-0.0033650793650793487,-0.0009492063492063663,0.9994920634920635,False,False
Poland,150,2100,True,0.9996507936507937,0.9999587301587302,0.6037238095238096,0.7577015873015873,0.9999714285714286,0.9555142857142858,0.9999587301587302,0.3959269841269841,0.36120555555555556,0.43096976190476194,0.24194920634920636,0.2187134920634921,0.2665353174603175,0.04413650793650792,0.03595555555555552,0.05279698412698412,-0.0003079365079364793,-0.0006253968253968623,-8.571428571435558e-05,-0.0003206349206349435,-0.000688888888888961,-7.301587301578039e-05,0.9999587301587302,False,False
Germany,150,2100,True,0.999552380952381,1.0,0.4352412698412698,0.5852380952380952,0.9999746031746032,0.7934412698412698,1.0,0.5643111111111112,0.5268126984126984,0.6022388095238095,0.41431428571428575,0.3885362698412699,0.44098190476190474,0.20611111111111113,0.18298087301587299,0.23078182539682532,-0.00044761904761903004,-0.0013396825396825296,-6.349206349232084e-06,-0.00042222222222221273,-0.0013175396825396396,3.492063492060993e-05,1.0,False,False
United Kingdom,150,2100,True,0.9964190476190476,0.9995142857142857,0.5897269841269841,0.6529333333333334,0.9998253968253968,0.9822920634920634,0.9996285714285714,0.40669206349206355,0.3704313492063492,0.44417142857142855,0.3434857142857143,0.3125098412698412,0.3748732539682539,0.01412698412698421,0.009190476190476193,0.019441349206349177,-0.0032095238095237733,-0.005146111111111152,-0.0015935714285713399,-0.0034063492063491907,-0.005450793650793706,-0.0016698412698412657,0.9995015873015873,False,False
Israel,150,2100,True,0.9986539682539682,0.9996571428571429,0.5130539682539682,0.6576603174603175,0.9999587301587302,0.9696253968253968,0.9996793650793651,0.48560000000000003,0.44888428571428574,0.5239911111111111,0.34099365079365074,0.31642738095238093,0.366590634920635,0.029028571428571404,0.02252055555555558,0.03588261904761899,-0.0010253968253968182,-0.001901587301587293,-0.0003492063492063213,-0.0013047619047619197,-0.0024286507936508105,-0.00043174603174600534,0.9996253968253969,False,False
Russia,150,2100,True,0.9996857142857143,1.0,0.5020412698412698,0.6574380952380953,0.9999968253968254,0.9160095238095238,1.0,0.49764444444444444,0.45572317460317463,0.5394328571428572,0.342247619047619,0.31339976190476193,0.3719273015873016,0.08367619047619046,0.07184746031746032,0.0958194444444444,-0.0003142857142857114,-0.0010095238095237935,0.0,-0.00031111111111115086,-0.0010095238095237935,1.2698412698464168e-05,1.0,False,False
Jordan,124,2100,False,0.9869585253456221,0.629531490015361,0.44483486943164363,0.5093029953917051,0.9996390168970815,0.7864900153609831,0.8067780337941628,0.5421236559139785,0.4849621255760368,0.5971476574500767,0.477655529953917,0.4239653897849462,0.5301778513824885,0.20046850998463905,0.17764199308755765,0.22448550307219653,0.18018049155145932,0.1531176075268818,0.2088213325652842,-0.012680491551459339,-0.017154665898617437,-0.008605894777265675,0.7071288402457757,True,True
